date,reach,profile_views,followers_count,media_count
2026-05-28,0,0,,
2026-05-29,0,0,,
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,101,0,,
2026-06-02,0,0,,
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,0,,
2026-06-06,0,0,,
2026-06-07,0,0,,
2026-06-08,0,0,,
2026-06-09,0,0,,
2026-06-10,0,0,,
2026-06-11,0,0,,
2026-06-12,0,0,,
2026-06-13,0,0,,
2026-06-14,0,0,,
2026-06-15,0,0,,
2026-06-16,0,0,,
2026-06-17,0,0,,
2026-06-18,0,0,,
2026-06-19,1,3,,
2026-06-20,0,0,,
2026-06-21,2,0,,
2026-06-22,110,0,,
2026-06-23,54,0,,
2026-06-24,58,0,,
2026-06-25,3,0,,
2026-06-26,1,0,2,17
