media_id,date,type,permalink,caption,reach,likes,comments,saved,shares,total_interactions,views,avg_watch_time
17873201091681844,2026-06-22,REELS,https://www.instagram.com/reel/DZ5MbKmgFjt/,墨西哥城大學城 · 1950年代／1954年  火山岩漿在兩千年前凝固成「佩德雷加爾」黑色熔岩原，原被當作寸草不生的廢地。1950年代，建築師帕尼與德爾·莫拉爾,115,0,0,1,0,1,127,2487
17888173179558897,2026-06-08,IMAGE,https://www.instagram.com/p/DZU2c2GFiST/,巴斯 · 喬治亞時代  波·納許於一七〇五年抵達巴斯，立志將這座溫泉城鎮打造成時尚社交中心。他深知，除了溫泉療效，巴斯更需要精緻的生活方式來吸引上流社會。  納,1,0,0,0,0,0,,
17920064124383855,2026-06-25,IMAGE,https://www.instagram.com/p/DaAn-G_CjBr/,聖喬治教堂（賴歇瑙） · 九世紀末／奧托王朝  博登湖中央的賴歇瑙島上，一座聖喬治教堂於九世紀末悄然落成，只為安放教宗格里高利二世賜予的聖喬治頭顱聖髑，紀念修道,1,0,0,0,0,0,,
17954685279153980,2026-06-09,IMAGE,https://www.instagram.com/p/DZXbPwCFuXU/,蒙特城堡 · 十三世紀  腓特烈二世國王於十二世紀四十年代，在普利亞的安德里亞山丘上，建造了蒙特城堡。他渴望創造一座獨特而宏偉的建築，以大膽的八角形平面圖和古典,1,0,0,0,0,0,,
17956123863148666,2026-06-26,IMAGE,https://www.instagram.com/p/DaDMw3jjPxU/,提爾聖十字主教座堂 · 十字軍時期（1129–1291）  提爾的威尼斯人街區，1129年立起一座聖十字座堂——建在拜占庭舊堂的地基上，很快成為耶路撒冷拉丁王國,2,0,0,0,0,0,,
17960613318069942,2026-06-24,REELS,https://www.instagram.com/reel/DZ99gokADub/,聖多明哥修道院教堂 · 十七世紀  道明會修士胡安·德·昆卡，於一六五〇年在普埃布拉舊城動工，只為玫瑰聖母造一座配得上天后的殿堂。他不曾料到，這項工程將耗去整整,58,0,0,0,0,0,61,2931
17970178188059310,2026-06-02,IMAGE,https://www.instagram.com/p/DZFZr0mjHC0/,菲律賓巴洛克教堂 · 西班牙殖民時期  菲律賓的四座西班牙殖民時期巴洛克教堂，在一九九三年迎來了歷史性的時刻。這群融合了歐洲藝術與本土防震設計的獨特建築，正式被,1,0,0,0,0,0,,
18001417733957857,2026-06-23,IMAGE,https://www.instagram.com/p/DZ7eYJ5jVJI/,克拉倫斯之屋 · 西元 1804 年  克拉倫斯之屋建於一八〇四年，原是英吉利港海軍軍需專員的宅邸，專為款待往來官員而設。屋名取自曾在此服役、後來登基為威廉四世,0,0,0,0,0,0,,
18075490682671234,2026-06-18,IMAGE,https://www.instagram.com/p/DZumaaSCWth/,普斯科夫建築流派教堂 · 12–17 世紀  普斯科夫，俄羅斯西北邊境上的商人共和國。十二世紀起，石匠用當地白色石灰岩砌起一座座教堂，把信仰蓋成人能親近的樸素尺,1,0,0,0,0,0,,
18082852910534339,2026-06-06,IMAGE,https://www.instagram.com/p/DZPs3aVj_Ey/,愛德華國王在格溫內斯的城堡與城牆 · 十三世紀末至十四世紀初  愛德華一世國王，一二八二年入侵北威爾斯後，決心建立「鐵環」防禦工事。他期望這些城堡不僅是軍事要塞,1,0,0,0,0,0,,
18094548920351561,2026-06-24,IMAGE,https://www.instagram.com/p/DZ-DLEbD_na/,聖多明哥修道院教堂 · 十七世紀  道明會修士胡安·德·昆卡，於一六五〇年在普埃布拉舊城動工，只為玫瑰聖母造一座配得上天后的殿堂。他不曾料到，這項工程將耗去整整,1,0,0,0,0,0,,
18101528621145421,2026-06-22,IMAGE,https://www.instagram.com/p/DZ45lWSDRHk/,墨西哥城大學城 · 1950年代／1954年  火山岩漿在兩千年前凝固成「佩德雷加爾」黑色熔岩原，原被當作寸草不生的廢地。1950年代，建築師帕尼與德爾·莫拉爾,0,0,0,0,0,0,,
18105792254075780,2026-06-04,IMAGE,https://www.instagram.com/p/DZKjRaQoFne/,阿爾塔米拉洞窟與西班牙北部舊石器時代洞穴藝術 · 舊石器時代晚期  馬格德林時期的藝術家在距今三萬五千年前，走入西班牙北部的阿爾塔米拉洞窟。他們渴望在黑暗的岩壁,1,0,0,0,0,0,,
18118000489745600,2026-06-07,IMAGE,https://www.instagram.com/p/DZSRqL7jhuG/,昌昌 · 前哥倫布時期  約西元九〇〇年，奇穆統治者在秘魯沿海建立昌昌，作為其征服型王國的首都。他們利用安第斯山脈徑流，透過灌溉系統掌控水源，將這片乾旱沙漠打造,1,0,0,0,0,0,,
18120975931708923,2026-06-01,REELS,https://www.instagram.com/reel/DZC6dvMSYxY/,🎧 走到哪，聽到哪 — 讓 AI 把眼前這個地方的故事說給你聽。  Hi，我是 Lorescape，一個 AI 隨行的旅行說書人。  你有沒有過這種時刻： 站在,102,0,0,0,0,0,113,1239
18595809010028438,2026-06-20,IMAGE,https://www.instagram.com/p/DZzv_d3DgUn/,迪夫里伊大清真寺與醫院 · 1228–1229年（曼居傑克王朝）  曼居傑克王朝的兩位贊助者，1228年在群山環抱的小鎮迪夫里伊，要讓清真寺與醫院並肩而立，特地,2,0,0,0,0,0,,
18601808431017787,2026-06-23,REELS,https://www.instagram.com/reel/DZ7it7JAKef/,克拉倫斯之屋 · 西元 1804 年  克拉倫斯之屋建於一八〇四年，原是英吉利港海軍軍需專員的宅邸，專為款待往來官員而設。屋名取自曾在此服役、後來登基為威廉四世,53,0,0,0,0,0,55,2449
